Enterprise_ID,Region,Enterprise_Size,Revenue,Expenses,Loan_Amount,Debt_to_Equity,Avg_Temperature,Rainfall,Drought_Index,Flood_Risk_Score,Commodity_Price_Index,Input_Cost_Index,Policy_Support_Score,Quarter,Net_Profit,Financial_Risk_Level
ENT0063,North,Medium,519.55,307.09,155.1,1.7,26.1,238.2,0.86,0.09,78.49,55.28,0,Q2,212.45999999999998,High
ENT0064,North,Medium,392.36,245.29,29.84,0.45,28.5,253.0,0.49,0.92,127.41,42.13,1,Q3,147.07000000000002,Medium
ENT0065,East,Small,725.82,410.16,197.72,1.71,21.1,288.7,0.48,0.88,123.85,44.08,1,Q2,315.66,High
ENT0066,South,Large,592.28,572.51,169.66,1.2,21.0,65.5,0.62,0.97,104.93,57.77,7,Q3,19.769999999999982,High
ENT0067,West,Medium,506.21,573.76,3.13,0.61,33.0,219.9,0.77,0.64,80.94,66.8,0,Q1,-67.55000000000001,Medium
ENT0068,North,Large,429.1,460.79,61.41,0.62,28.1,155.7,0.67,0.81,105.25,44.09,10,Q1,-31.689999999999998,Medium
ENT0069,West,Large,517.27,339.73,232.87,0.84,20.6,98.5,0.63,0.61,91.44,55.59,2,Q4,177.53999999999996,High
ENT0070,South,Small,461.62,255.05,82.73,0.97,16.1,181.9,0.37,0.49,92.95,49.63,0,Q1,206.57,Medium
ENT0071,South,Small,510.43,504.71,149.79,0.26,19.0,164.5,0.63,0.83,113.41,60.92,4,Q4,5.720000000000027,Medium
ENT0072,South,Small,785.25,444.72,93.6,1.7,20.7,87.7,0.1,0.78,91.62,38.68,3,Q3,340.53,High
ENT0073,North,Small,340.29,368.38,276.46,0.33,19.7,80.5,0.41,0.73,128.28,50.2,2,Q2,-28.089999999999975,Medium
ENT0074,South,Large,474.7,351.67,160.97,1.02,25.8,146.0,0.19,0.89,112.61,43.52,7,Q1,123.02999999999997,Medium
ENT0075,North,Small,605.96,460.04,208.85,0.83,29.4,142.2,0.54,0.93,120.16,49.35,6,Q4,145.92000000000002,High
ENT0076,South,Small,439.98,317.34,25.04,1.07,25.5,90.6,0.26,0.45,82.07,58.8,3,Q3,122.64000000000004,Medium
ENT0077,West,Small,737.08,423.92,12.1,1.79,23.7,79.1,0.51,0.28,87.66,49.8,0,Q2,313.16,High
ENT0078,West,Small,601.77,278.02,77.77,1.98,27.7,286.3,0.78,0.51,75.13,42.37,6,Q1,323.75,High
ENT0079,East,Large,392.17,622.85,92.74,0.14,24.3,258.7,0.43,0.09,126.41,59.1,2,Q2,-230.68,Low
ENT0080,West,Small,530.61,331.3,206.3,0.85,17.4,245.0,0.22,0.94,157.59,55.11,4,Q2,199.31,Medium
ENT0081,East,Large,394.31,464.84,170.74,1.65,27.0,64.3,0.22,0.98,110.41,52.38,7,Q1,-70.52999999999997,High
ENT0082,West,Medium,380.5,280.2,112.37,0.72,28.0,56.8,0.91,0.65,105.18,37.98,8,Q4,100.30000000000001,Medium
ENT0083,North,Large,478.97,383.67,196.24,1.33,32.0,242.8,0.78,0.75,90.46,54.94,9,Q1,95.30000000000001,High
ENT0084,West,Large,689.56,488.46,49.07,1.99,30.6,55.4,0.04,0.32,132.34,43.48,10,Q4,201.09999999999997,High
ENT0085,East,Small,611.82,510.1,19.05,1.33,23.2,151.1,0.94,0.87,99.1,40.09,9,Q4,101.72000000000003,High
ENT0086,East,Medium,496.61,476.33,256.35,0.31,24.9,66.4,0.11,0.9,87.04,40.76,6,Q2,20.28000000000003,Medium
ENT0087,South,Medium,617.18,386.18,169.18,1.7,26.2,113.4,0.65,0.08,70.47,55.83,5,Q4,230.99999999999994,High
ENT0088,North,Medium,540.29,333.4,194.73,1.94,27.1,256.0,0.55,0.13,79.1,54.6,4,Q4,206.89,High
ENT0089,West,Medium,324.52,292.23,92.17,1.45,33.5,267.4,0.05,0.26,101.4,50.15,4,Q1,32.289999999999964,Medium
ENT0090,South,Large,478.23,550.38,111.59,0.9,25.7,299.0,0.3,0.7,63.34,28.46,10,Q4,-72.14999999999998,Medium
ENT0091,West,Medium,489.03,410.34,24.71,1.9,23.4,283.2,0.78,0.18,75.47,60.77,3,Q1,78.69,High
ENT0092,West,Large,614.25,428.82,257.1,1.94,32.2,201.4,0.31,0.22,133.27,58.5,6,Q1,185.43,High
ENT0093,South,Large,415.03,516.54,177.73,1.88,32.1,129.5,0.48,0.38,116.59,44.48,0,Q3,-101.50999999999999,High
ENT0094,South,Large,363.1,458.67,25.09,0.88,30.5,17.3,0.7,0.61,93.5,63.61,2,Q4,-95.57,Medium
ENT0095,South,Medium,493.17,387.26,241.36,1.6,18.0,182.4,0.07,0.98,118.86,40.18,5,Q1,105.91000000000003,High
ENT0096,South,Small,403.19,474.44,133.23,1.34,26.4,63.2,0.83,0.78,84.7,50.91,9,Q1,-71.25,High
ENT0097,South,Small,451.47,337.75,229.53,0.44,24.8,255.0,0.04,0.56,115.59,51.06,0,Q2,113.72000000000003,Medium
ENT0098,West,Medium,487.87,244.89,3.79,1.12,28.2,164.7,0.26,0.05,92.74,52.36,6,Q4,242.98000000000002,Medium
ENT0099,South,Small,442.54,541.18,8.62,1.52,21.6,220.1,0.76,0.52,139.39,36.08,1,Q4,-98.63999999999993,High
ENT0100,North,Small,644.48,346.08,51.23,1.8,30.1,202.0,0.91,0.2,77.25,34.3,6,Q2,298.40000000000003,High
ENT0101,East,Large,712.14,369.57,63.27,1.74,27.8,104.2,0.76,0.3,130.61,49.08,3,Q1,342.57,High
ENT0102,South,Large,629.44,378.39,229.19,0.39,30.4,227.7,0.23,0.25,97.44,41.24,8,Q2,251.05000000000007,Low
ENT0103,South,Medium,234.32,339.78,212.01,1.03,22.3,253.0,0.99,0.35,62.43,53.31,4,Q3,-105.45999999999998,High
ENT0104,West,Medium,403.7,510.13,184.83,1.01,27.3,223.2,0.41,0.06,106.19,51.27,0,Q1,-106.43,Medium
ENT0105,South,Small,473.2,437.45,265.46,1.81,29.9,233.0,0.38,0.58,113.98,63.27,10,Q4,35.75,High
ENT0106,South,Large,223.06,369.62,74.14,0.1,13.3,108.0,0.87,0.05,129.99,63.0,3,Q2,-146.56,Low
ENT0107,South,Medium,368.62,272.43,271.32,1.5,29.3,283.1,0.07,0.66,115.23,50.51,10,Q2,96.19,High
ENT0108,West,Medium,471.29,430.38,272.84,1.28,24.2,127.4,0.56,0.73,81.4,64.91,3,Q1,40.910000000000025,High
ENT0109,South,Medium,432.65,154.94,130.28,1.85,25.9,269.1,0.97,0.49,120.77,52.08,3,Q2,277.71,High
ENT0110,East,Medium,501.3,423.27,28.32,0.97,32.3,257.3,0.1,0.78,101.08,49.58,2,Q2,78.03000000000003,Medium
ENT0111,West,Medium,292.88,534.32,217.97,1.35,31.5,37.3,0.54,0.97,68.38,67.07,2,Q4,-241.44000000000005,High
ENT0112,East,Medium,430.96,406.46,101.08,1.95,23.1,289.9,0.13,0.34,98.31,40.51,9,Q2,24.5,High
ENT0113,West,Small,522.79,520.63,238.48,1.51,17.6,298.9,0.89,0.62,76.47,34.5,4,Q1,2.159999999999968,High
ENT0114,South,Large,501.53,277.08,49.11,0.23,25.6,181.8,0.59,0.32,97.21,47.68,4,Q1,224.45,Low
ENT0115,East,Large,567.03,603.85,161.85,0.42,31.3,234.9,0.23,0.44,114.57,51.85,10,Q2,-36.82000000000005,Low
ENT0116,West,Medium,558.29,509.73,152.42,1.66,32.6,280.1,0.31,0.02,77.47,56.28,1,Q2,48.559999999999945,High
ENT0117,North,Large,438.93,447.6,30.09,0.74,15.5,6.0,0.52,0.07,105.88,38.61,9,Q4,-8.670000000000016,Low
ENT0118,South,Large,518.02,340.16,109.0,1.44,29.0,279.0,0.73,0.8,121.67,48.42,9,Q2,177.85999999999996,High
ENT0119,West,Large,380.0,323.55,25.43,1.43,28.3,188.2,0.49,0.14,87.5,37.79,8,Q1,56.44999999999999,Medium
ENT0120,North,Medium,459.47,392.91,139.42,1.99,29.9,248.5,0.19,0.7,94.31,47.13,2,Q2,66.56,High
ENT0121,West,Medium,341.66,520.28,252.87,0.99,26.1,162.2,0.71,0.71,121.37,63.39,3,Q2,-178.61999999999995,High
ENT0122,North,Large,659.81,268.45,81.06,1.5,17.2,159.2,0.12,1.0,122.28,51.46,1,Q2,391.35999999999996,High
ENT0123,South,Large,458.98,401.04,229.46,0.19,23.7,269.3,0.81,0.7,76.83,40.49,7,Q3,57.94,Medium
ENT0124,East,Medium,659.59,473.42,55.03,0.98,21.4,152.2,0.4,0.13,79.19,30.33,6,Q3,186.17000000000002,Medium
ENT0125,North,Small,546.72,492.93,202.12,0.45,20.8,141.5,0.65,0.63,115.81,46.3,2,Q2,53.79000000000002,Medium
ENT0126,West,Large,367.15,473.12,274.66,1.7,29.9,182.5,0.34,0.52,95.38,49.8,10,Q2,-105.97000000000003,High
ENT0127,South,Small,537.67,258.24,97.18,1.7,25.1,155.6,0.67,0.92,96.9,50.04,10,Q3,279.42999999999995,High
ENT0128,North,Large,621.46,513.18,270.12,0.55,28.0,133.9,0.89,0.69,64.85,36.78,4,Q4,108.28000000000009,High
ENT0129,West,Small,488.36,406.72,151.63,0.7,31.3,54.2,0.7,0.52,90.77,51.9,0,Q2,81.63999999999999,Medium
ENT0130,West,Small,511.1,291.44,95.04,1.43,17.4,119.2,0.67,0.62,96.73,32.07,5,Q2,219.66000000000003,High
ENT0131,West,Small,417.28,397.58,268.95,1.5,34.0,84.6,0.76,0.44,114.46,51.19,9,Q4,19.69999999999999,High
ENT0132,North,Medium,503.62,204.13,9.61,1.35,34.9,120.1,0.5,0.51,92.55,48.46,5,Q1,299.49,Medium
ENT0133,North,Small,535.68,457.83,8.41,1.99,17.1,177.9,0.22,0.72,114.52,56.6,4,Q3,77.84999999999997,High
ENT0134,North,Small,413.18,387.23,179.95,1.75,29.5,182.7,0.82,0.08,96.55,61.03,8,Q3,25.94999999999999,High
ENT0135,East,Small,338.11,272.99,239.03,0.89,35.9,71.6,0.65,0.62,125.12,26.65,3,Q4,65.12,High
ENT0136,North,Large,693.2,370.99,225.46,0.72,19.0,25.3,0.31,0.09,99.71,56.67,1,Q3,322.21000000000004,Medium
ENT0137,North,Small,590.62,329.25,23.84,1.23,20.1,223.3,0.28,0.86,89.69,60.59,6,Q1,261.37,Medium
ENT0138,North,Large,417.85,335.64,285.08,1.65,30.1,158.6,0.5,0.94,85.38,56.86,4,Q1,82.21000000000004,High
ENT0139,East,Small,532.95,173.9,210.92,1.0,28.3,132.6,0.21,0.78,79.25,44.59,6,Q3,359.05000000000007,Medium
ENT0140,North,Small,278.21,232.78,284.73,1.5,27.1,38.9,0.88,0.72,106.27,60.96,6,Q1,45.42999999999998,High
ENT0141,West,Medium,203.44,377.03,98.73,0.14,24.7,124.4,0.79,0.94,139.2,44.4,6,Q1,-173.58999999999997,Medium
ENT0142,North,Large,662.62,359.82,208.18,1.86,26.8,245.5,0.31,0.22,115.71,39.16,2,Q1,302.8,High
ENT0143,West,Small,534.43,497.4,257.98,1.57,13.4,174.4,0.05,0.23,108.25,49.82,4,Q2,37.02999999999997,High
ENT0144,West,Large,492.84,336.82,114.14,0.85,20.0,27.3,0.05,0.48,75.36,48.82,0,Q4,156.01999999999998,Medium
ENT0145,West,Large,534.9,347.3,289.46,0.83,25.4,99.7,0.3,0.01,76.38,58.73,5,Q3,187.59999999999997,Medium
ENT0146,East,Medium,983.92,351.98,79.5,0.3,15.4,293.9,0.15,0.97,119.01,43.18,3,Q2,631.9399999999999,Medium
ENT0147,East,Medium,630.36,380.3,94.68,1.65,25.3,163.4,0.87,0.03,109.22,51.36,1,Q3,250.06,High
ENT0148,East,Medium,343.18,409.15,276.1,1.56,25.9,85.9,0.42,0.6,87.29,38.53,2,Q4,-65.96999999999997,High
ENT0149,North,Medium,247.94,359.37,290.9,1.3,22.3,274.0,0.35,0.35,65.69,63.36,2,Q1,-111.43,High
ENT0150,West,Medium,658.18,457.12,85.56,0.29,22.6,100.8,0.22,0.1,96.03,55.87,0,Q3,201.05999999999995,Low
ENT0151,East,Medium,628.41,630.02,40.92,0.6,20.8,219.0,0.84,0.02,82.02,27.29,6,Q3,-1.6100000000000136,Medium
ENT0152,East,Medium,586.26,317.46,227.72,0.97,23.6,44.2,0.79,0.26,89.43,61.91,9,Q2,268.8,Medium
ENT0153,North,Medium,378.07,439.18,278.9,0.61,27.8,46.9,0.38,0.11,74.32,51.63,2,Q2,-61.110000000000014,Medium
ENT0154,East,Small,554.49,402.95,180.21,0.92,28.1,168.4,0.17,0.94,116.13,50.89,6,Q1,151.54000000000002,Medium
ENT0155,North,Large,391.5,504.7,190.36,0.53,31.1,71.9,0.95,0.24,87.79,67.95,9,Q4,-113.19999999999999,Medium
ENT0156,South,Medium,599.42,420.3,228.88,0.76,25.2,14.8,0.32,0.09,110.22,33.65,9,Q1,179.11999999999995,Medium
ENT0157,East,Medium,647.4,327.35,45.93,1.34,28.3,277.9,0.77,0.77,107.73,54.34,8,Q2,320.04999999999995,High
ENT0158,South,Large,418.48,283.49,292.04,1.8,18.7,16.8,0.46,0.41,88.36,46.44,5,Q3,134.99,High
ENT0159,North,Small,669.77,461.05,109.3,0.83,27.0,215.2,0.78,0.84,96.3,40.86,7,Q3,208.71999999999997,Medium
ENT0160,West,Large,517.23,291.62,188.47,1.41,24.9,99.9,0.48,0.84,135.2,63.44,10,Q4,225.61,High
ENT0161,East,Large,573.78,518.37,140.58,0.36,28.5,280.1,0.93,0.99,79.42,41.23,10,Q1,55.40999999999997,Medium
ENT0162,North,Medium,303.55,455.32,140.45,1.13,24.6,295.8,0.8,0.8,83.2,44.08,0,Q1,-151.76999999999998,High
ENT0163,West,Large,534.83,408.67,210.82,1.85,24.1,100.6,0.26,0.21,58.0,52.97,7,Q1,126.16000000000003,High
ENT0164,West,Large,398.66,268.77,298.4,0.15,21.9,177.3,0.43,0.59,97.06,61.96,7,Q3,129.89000000000004,Medium
ENT0165,South,Medium,571.2,467.53,197.72,0.61,31.0,231.9,0.1,0.53,58.06,46.79,2,Q4,103.67000000000007,Medium
ENT0166,North,Medium,720.07,561.68,238.22,0.35,22.9,37.0,0.9,0.51,90.24,58.1,5,Q3,158.3900000000001,Medium
ENT0167,West,Medium,543.43,357.49,8.28,1.11,35.3,212.8,0.07,0.3,63.83,66.85,5,Q4,185.93999999999994,Medium
ENT0168,East,Medium,364.87,325.81,243.13,1.39,19.4,271.9,0.02,0.21,114.52,67.73,6,Q4,39.06,Medium
ENT0169,East,Large,593.97,390.8,89.99,0.21,31.9,53.6,0.5,0.72,96.63,62.39,2,Q1,203.17000000000002,Medium
ENT0170,South,Large,560.27,446.69,38.01,0.23,15.1,251.6,0.6,0.1,33.36,62.39,9,Q3,113.57999999999998,Low
ENT0171,West,Small,808.79,346.88,34.0,1.75,25.2,34.7,0.22,0.05,80.64,59.83,0,Q3,461.90999999999997,High
ENT0172,North,Small,538.1,489.92,203.96,0.97,23.1,170.5,0.57,0.38,90.46,36.72,8,Q4,48.18000000000001,Medium
ENT0173,East,Large,412.18,591.07,299.29,0.98,28.2,101.8,0.9,0.74,110.54,54.09,5,Q3,-178.89000000000004,High
ENT0174,West,Small,615.6,433.02,199.86,1.89,30.1,141.5,0.63,0.87,117.38,54.35,4,Q4,182.58000000000004,High
ENT0175,West,Large,480.85,367.5,78.7,0.71,35.7,90.2,0.46,0.54,107.89,55.77,1,Q3,113.35000000000002,Medium
ENT0176,South,Small,512.04,444.0,60.99,1.8,23.3,78.2,0.14,0.84,106.05,41.29,3,Q3,68.03999999999996,High
ENT0177,East,Medium,360.73,517.73,157.79,1.95,22.3,222.9,0.17,0.03,108.28,55.8,4,Q4,-157.0,High
ENT0178,East,Small,481.63,415.96,19.51,0.56,30.4,66.9,0.48,0.46,112.97,60.24,9,Q3,65.67000000000002,Low
ENT0179,North,Medium,504.62,448.51,119.8,1.08,25.3,122.5,0.46,0.13,100.23,52.83,3,Q1,56.110000000000014,Medium
ENT0180,East,Medium,480.75,470.48,199.87,1.12,22.8,82.4,0.52,0.58,95.67,39.37,9,Q1,10.269999999999982,Medium
ENT0181,North,Medium,411.37,312.46,290.3,1.75,23.8,71.6,0.51,0.92,103.69,44.09,3,Q2,98.91000000000003,High
ENT0182,East,Medium,543.23,445.91,127.7,0.68,22.4,188.1,0.34,0.01,123.3,54.04,10,Q4,97.32,Low
ENT0183,South,Small,361.48,265.81,60.07,1.62,17.7,13.6,0.7,0.67,52.97,51.48,5,Q1,95.67000000000002,High
ENT0184,East,Large,326.15,334.16,245.21,1.94,33.8,236.7,0.21,0.79,54.12,35.7,3,Q2,-8.010000000000048,High
ENT0185,North,Medium,606.43,514.57,223.26,1.7,28.4,163.9,0.85,0.74,111.2,53.34,8,Q4,91.8599999999999,High
ENT0186,North,Small,592.66,487.1,257.91,1.83,17.9,248.5,0.19,0.02,82.04,39.02,1,Q3,105.55999999999995,High
ENT0187,South,Medium,303.86,372.98,64.42,1.45,33.5,63.9,0.42,0.17,101.4,39.85,4,Q4,-69.12,Medium
ENT0188,East,Small,225.57,570.58,121.45,1.82,26.9,212.8,0.21,0.09,99.37,38.79,2,Q3,-345.01000000000005,High
ENT0189,East,Small,348.69,268.98,294.47,0.41,24.9,126.2,0.62,0.09,143.25,35.2,7,Q4,79.70999999999998,Medium
ENT0190,South,Small,480.76,379.49,47.41,1.45,28.6,23.0,0.48,0.73,113.51,28.63,2,Q3,101.26999999999998,High
ENT0191,East,Large,673.15,427.51,201.44,1.49,23.8,225.7,0.37,0.42,120.09,36.41,7,Q4,245.64,High
ENT0192,East,Small,477.09,119.18,71.16,0.93,19.4,228.7,0.48,0.72,93.79,51.49,7,Q4,357.90999999999997,Medium
ENT0193,North,Small,384.6,384.23,150.05,0.25,23.3,81.3,0.42,0.36,83.89,52.17,1,Q1,0.37000000000000455,Medium
ENT0194,East,Large,522.29,287.55,240.15,1.28,25.6,274.8,0.86,0.12,83.07,46.71,10,Q3,234.73999999999995,High
ENT0195,East,Large,482.9,289.83,146.58,0.2,21.5,229.2,0.12,0.72,124.52,46.74,9,Q4,193.07,Low
ENT0196,South,Small,292.85,372.78,241.64,0.83,28.5,92.0,0.79,0.63,110.49,50.52,6,Q1,-79.92999999999995,High
ENT0197,South,Large,293.74,217.43,127.9,0.85,32.4,71.7,0.66,0.11,101.52,43.5,10,Q1,76.31,Medium
ENT0198,West,Medium,297.77,319.2,299.81,2.0,24.2,132.0,0.35,0.92,134.23,42.67,5,Q1,-21.430000000000007,High
ENT0199,North,Medium,871.98,219.77,130.75,0.67,14.6,87.8,0.92,0.31,97.22,52.65,10,Q3,652.21,Medium
ENT0200,East,Large,629.0,412.38,44.81,1.66,25.2,65.1,0.18,0.65,84.59,61.22,0,Q1,216.62,High
ENT0201,East,Large,410.94,410.43,120.56,0.2,21.7,119.7,0.31,0.03,93.15,41.43,1,Q2,0.5099999999999909,Low
ENT0202,West,Small,666.24,365.15,222.78,1.11,24.9,7.7,0.37,0.44,121.5,50.86,3,Q2,301.09000000000003,High
ENT0203,East,Large,414.79,499.64,254.38,1.12,24.9,120.4,0.65,0.96,72.58,40.39,1,Q4,-84.84999999999997,High
