Enterprise_ID,Region,Enterprise_Size,Revenue,Expenses,Loan_Amount,Debt_to_Equity,Avg_Temperature,Rainfall,Drought_Index,Flood_Risk_Score,Commodity_Price_Index,Input_Cost_Index,Policy_Support_Score,Quarter,Net_Profit,Financial_Risk_Level,landholding_size,irrigation_type,yield
ENT0071,South,Small,510.43,504.71,149.79,0.26,19.0,164.5,0.63,0.83,113.41,60.92,2,Q4,5.720000000000027,Medium,4.08897907718663,Sprinkler,4.870525674781533
ENT0072,South,Small,785.25,444.72,93.6,1.7,20.7,87.7,0.1,0.78,91.62,38.68,2,Q3,340.53,High,1.7948627261366896,Borewell,4.707325093188654
ENT0073,North,Small,340.29,368.38,276.46,0.33,19.7,80.5,0.41,0.73,128.28,50.2,1,Q2,-28.08999999999997,Medium,1.0220884684944096,Borewell,6.260554286093641
ENT0074,South,Large,474.7,351.67,160.97,1.02,25.8,146.0,0.19,0.89,112.61,43.52,3,Q1,123.02999999999996,Medium,27.06754250290878,Borewell,7.301751674042783
ENT0075,North,Small,605.96,460.04,208.85,0.83,29.4,142.2,0.54,0.93,120.16,49.35,3,Q4,145.92000000000002,High,3.8274293753904685,Borewell,3.1698708159262425
ENT0076,South,Small,439.98,317.34,25.04,1.07,25.5,90.6,0.26,0.45,82.07,58.8,2,Q3,122.64000000000004,Medium,3.9160286721639492,Rainfed,5.1496987389255935
ENT0077,West,Small,737.08,423.92,12.1,1.79,23.7,79.1,0.51,0.28,87.66,49.8,1,Q2,313.16,High,4.0850813867437825,Rainfed,2.392485534048649
ENT0078,West,Small,601.77,278.02,77.77,1.98,27.7,286.3,0.78,0.51,75.13,42.37,3,Q1,323.75,High,1.2961786069363614,Drip,3.1127652803907093
ENT0079,East,Large,392.17,622.85,92.74,0.14,24.3,258.7,0.43,0.09,126.41,59.1,1,Q2,-230.68,Low,47.26844705464626,Rainfed,3.075537227938522
ENT0080,West,Small,530.61,331.3,206.3,0.85,17.4,245.0,0.22,0.94,157.59,55.11,2,Q2,199.31,Medium,1.4634762381005189,Rainfed,7.4913653255506345
ENT0081,East,Large,394.31,464.84,170.74,1.65,27.0,64.3,0.22,0.98,110.41,52.38,3,Q1,-70.52999999999997,High,22.871388200564255,Borewell,4.354742071777648
ENT0082,West,Medium,380.5,280.2,112.37,0.72,28.0,56.8,0.91,0.65,105.18,37.98,3,Q4,100.3,Medium,10.023718199720955,Borewell,7.249011304011768
ENT0083,North,Large,478.97,383.67,196.24,1.33,32.0,242.8,0.78,0.75,90.46,54.94,4,Q1,95.3,High,41.74325500745435,Sprinkler,2.2780818028583276
ENT0084,West,Large,689.56,488.46,49.07,1.99,30.6,55.4,0.04,0.32,132.34,43.48,4,Q4,201.1,High,36.67729570777046,Borewell,3.256776324971908
ENT0085,East,Small,611.82,510.1,19.05,1.33,23.2,151.1,0.94,0.87,99.1,40.09,4,Q4,101.72000000000004,High,2.243929286862649,Sprinkler,3.4318681962284803
ENT0086,East,Medium,496.61,476.33,256.35,0.31,24.9,66.4,0.11,0.9,87.04,40.76,3,Q2,20.28000000000003,Medium,9.747690060436511,Sprinkler,4.93345747319394
ENT0087,South,Medium,617.18,386.18,169.18,1.7,26.2,113.4,0.65,0.08,70.47,55.83,2,Q4,231.0,High,8.363233942703335,Rainfed,6.364679811211521
ENT0088,North,Medium,540.29,333.4,194.73,1.94,27.1,256.0,0.55,0.13,79.1,54.6,2,Q4,206.89,High,14.205358851025547,Borewell,3.206949740017825
ENT0089,West,Medium,324.52,292.23,92.17,1.45,33.5,267.4,0.05,0.26,101.4,50.15,2,Q1,32.289999999999964,Medium,5.120030272726826,Rainfed,4.023267648231635
ENT0090,South,Large,478.23,550.38,111.59,0.9,25.7,299.0,0.3,0.7,63.34,28.46,4,Q4,-72.14999999999998,Medium,31.107231635481536,Borewell,3.324951301693842
ENT0091,West,Medium,489.03,410.34,24.71,1.9,23.4,283.2,0.78,0.18,75.47,60.77,2,Q1,78.69,High,12.406635810666259,Rainfed,2.76747263367218
ENT0092,West,Large,614.25,428.82,257.1,1.94,32.2,201.4,0.31,0.22,133.27,58.5,3,Q1,185.43,High,29.34466855914225,Rainfed,5.861793881012163
ENT0093,South,Large,415.03,516.54,177.73,1.88,32.1,129.5,0.48,0.38,116.59,44.48,1,Q3,-101.51,High,33.37269294852136,Rainfed,4.655501347333635
ENT0094,South,Large,363.1,458.67,25.09,0.88,30.5,17.3,0.7,0.61,93.5,63.61,1,Q4,-95.57,Medium,31.699541858848914,Drip,6.6309056100000765
ENT0095,South,Medium,493.17,387.26,241.36,1.6,18.0,182.4,0.07,0.98,118.86,40.18,2,Q1,105.91000000000004,High,10.180104313760978,Rainfed,4.739355754232937
ENT0096,South,Small,403.19,474.44,133.23,1.34,26.4,63.2,0.83,0.78,84.7,50.91,4,Q1,-71.25,High,2.975182385457563,Canal,3.117886785461103
ENT0097,South,Small,451.47,337.75,229.53,0.44,24.8,255.0,0.04,0.56,115.59,51.06,1,Q2,113.72000000000004,Medium,3.0909313175279762,Canal,3.714439670961336
ENT0098,West,Medium,487.87,244.89,3.79,1.12,28.2,164.7,0.26,0.05,92.74,52.36,3,Q4,242.98,Medium,9.834980851068039,Canal,6.776710077170669
ENT0099,South,Small,442.54,541.18,8.62,1.52,21.6,220.1,0.76,0.52,139.39,36.08,1,Q4,-98.63999999999992,High,1.1016765069763808,Sprinkler,5.643889811624773
ENT0100,North,Small,644.48,346.08,51.23,1.8,30.1,202.0,0.91,0.2,77.25,34.3,3,Q2,298.40000000000003,High,1.4315657079732178,Rainfed,3.530207779241556
ENT0101,East,Large,712.14,369.57,63.27,1.74,27.8,104.2,0.76,0.3,130.61,49.08,2,Q1,342.57,High,35.411830665906606,Canal,2.272769276224035
ENT0102,South,Large,629.44,378.39,229.19,0.39,30.4,227.7,0.23,0.25,97.44,41.24,3,Q2,251.05000000000007,Low,23.048649539036198,Sprinkler,3.060490108492261
ENT0103,South,Medium,234.32,339.78,212.01,1.03,22.3,253.0,0.99,0.35,62.43,53.31,2,Q3,-105.45999999999998,High,7.3981995220659025,Canal,3.5173781464350733
ENT0104,West,Medium,403.7,510.13,184.83,1.01,27.3,223.2,0.41,0.06,106.19,51.27,1,Q1,-106.43,Medium,6.949582714986305,Borewell,3.0461113679361347
ENT0105,South,Small,473.2,437.45,265.46,1.81,29.9,233.0,0.38,0.58,113.98,63.27,4,Q4,35.75,High,4.6302658957043725,Drip,3.2375794968772045
ENT0106,South,Large,223.06,369.62,74.14,0.1,13.3,108.0,0.87,0.05,129.99,63.0,2,Q2,-146.56,Low,41.32542122901831,Rainfed,5.097503701056693
ENT0107,South,Medium,368.62,272.43,271.32,1.5,29.3,283.1,0.07,0.66,115.23,50.51,4,Q2,96.19,High,5.619465185789879,Drip,1.9103933675503968
ENT0108,West,Medium,471.29,430.38,272.84,1.28,24.2,127.4,0.56,0.73,81.4,64.91,2,Q1,40.910000000000025,High,10.768079196382558,Drip,1.5604216465268634
ENT0109,South,Medium,432.65,154.94,130.28,1.85,25.9,269.1,0.97,0.49,120.77,52.08,2,Q2,277.71,High,6.192104428405734,Borewell,6.460125572920493
ENT0110,East,Medium,501.3,423.27,28.32,0.97,32.3,257.3,0.1,0.78,101.08,49.58,1,Q2,78.03000000000003,Medium,5.364610508256185,Borewell,5.927350145114446
ENT0111,West,Medium,292.88,534.32,217.97,1.35,31.5,37.3,0.54,0.97,68.38,67.07,1,Q4,-241.44000000000003,High,5.527439521622174,Borewell,7.113560163400383
ENT0112,East,Medium,430.96,406.46,101.08,1.95,23.1,289.9,0.13,0.34,98.31,40.51,4,Q2,24.5,High,13.341641082084413,Sprinkler,4.174282152064733
ENT0113,West,Small,522.79,520.63,238.48,1.51,17.6,298.9,0.89,0.62,76.47,34.5,2,Q1,2.159999999999968,High,4.718790609370292,Canal,4.746904563829738
ENT0114,South,Large,501.53,277.08,49.11,0.23,25.6,181.8,0.59,0.32,97.21,47.68,2,Q1,224.45,Low,24.594765851717842,Rainfed,4.0234583731089515
ENT0115,East,Large,567.03,603.85,161.85,0.42,31.3,234.9,0.23,0.44,114.57,51.85,4,Q2,-36.82000000000005,Low,22.09299226966509,Borewell,6.091701586399706
ENT0116,West,Medium,558.29,509.73,152.42,1.66,32.6,280.1,0.31,0.02,77.47,56.28,1,Q2,48.559999999999945,High,13.439934719420247,Rainfed,2.3193739176362316
ENT0117,North,Large,438.93,447.6,30.09,0.74,15.5,6.0,0.52,0.07,105.88,38.61,4,Q4,-8.670000000000016,Low,16.989419974933597,Rainfed,3.0104031958814286
ENT0118,South,Large,518.02,340.16,109.0,1.44,29.0,279.0,0.73,0.8,121.67,48.42,4,Q2,177.85999999999996,High,49.24730626351268,Rainfed,5.9822700209218995
ENT0119,West,Large,380.0,323.55,25.43,1.43,28.3,188.2,0.49,0.14,87.5,37.79,3,Q1,56.44999999999999,Medium,35.59517447457487,Borewell,5.774471880876046
ENT0120,North,Medium,459.47,392.91,139.42,1.99,29.9,248.5,0.19,0.7,94.31,47.13,1,Q2,66.56,High,9.49078514134876,Borewell,6.088457798477335
ENT0121,West,Medium,341.66,520.28,252.87,0.99,26.1,162.2,0.71,0.71,121.37,63.39,2,Q2,-178.61999999999995,High,10.776130806371338,Canal,2.807898094612265
ENT0122,North,Large,659.81,268.45,81.06,1.5,17.2,159.2,0.12,1.0,122.28,51.46,1,Q2,391.36,High,32.39582767220223,Borewell,2.8101939092388495
ENT0123,South,Large,458.98,401.04,229.46,0.19,23.7,269.3,0.81,0.7,76.83,40.49,3,Q3,57.94,Medium,16.122223098308954,Borewell,5.003275008865159
ENT0124,East,Medium,659.59,473.42,55.03,0.98,21.4,152.2,0.4,0.13,79.19,30.33,3,Q3,186.17,Medium,8.155331806631356,Rainfed,6.530204919790841
ENT0125,North,Small,546.72,492.93,202.12,0.45,20.8,141.5,0.65,0.63,115.81,46.3,1,Q2,53.79000000000002,Medium,1.9117406501677667,Canal,5.829043170930872
ENT0126,West,Large,367.15,473.12,274.66,1.7,29.9,182.5,0.34,0.52,95.38,49.8,4,Q2,-105.97000000000004,High,29.586217121841862,Drip,5.944283442063823
ENT0127,South,Small,537.67,258.24,97.18,1.7,25.1,155.6,0.67,0.92,96.9,50.04,4,Q3,279.42999999999995,High,4.272059063689973,Borewell,1.9144207655989813
ENT0128,North,Large,621.46,513.18,270.12,0.55,28.0,133.9,0.89,0.69,64.85,36.78,2,Q4,108.28000000000009,High,22.945045476844722,Borewell,5.578790078456904
ENT0129,West,Small,488.36,406.72,151.63,0.7,31.3,54.2,0.7,0.52,90.77,51.9,1,Q2,81.63999999999999,Medium,1.0278085221247628,Drip,4.651638446832772
ENT0130,West,Small,511.1,291.44,95.04,1.43,17.4,119.2,0.67,0.62,96.73,32.07,2,Q2,219.66000000000005,High,3.042989210310263,Rainfed,2.640628077925346
ENT0131,West,Small,417.28,397.58,268.95,1.5,34.0,84.6,0.76,0.44,114.46,51.19,4,Q4,19.69999999999999,High,2.669644012595116,Canal,4.298870701620759
ENT0132,North,Medium,503.62,204.13,9.61,1.35,34.9,120.1,0.5,0.51,92.55,48.46,2,Q1,299.49,Medium,11.007921493396191,Rainfed,5.52531892089998
ENT0133,North,Small,535.68,457.83,8.41,1.99,17.1,177.9,0.22,0.72,114.52,56.6,2,Q3,77.84999999999997,High,1.4794614693347312,Sprinkler,2.269641820108135
ENT0134,North,Small,413.18,387.23,179.95,1.75,29.5,182.7,0.82,0.08,96.55,61.03,3,Q3,25.94999999999999,High,2.350460685614512,Borewell,3.2303339289900936
ENT0135,East,Small,338.11,272.99,239.03,0.89,35.9,71.6,0.65,0.62,125.12,26.65,2,Q4,65.12,High,4.771638815650077,Sprinkler,3.5573935038402915
ENT0136,North,Large,693.2,370.99,225.46,0.72,19.0,25.3,0.31,0.09,99.71,56.67,1,Q3,322.21000000000004,Medium,40.228571076622046,Borewell,5.044057061961577
ENT0137,North,Small,590.62,329.25,23.84,1.23,20.1,223.3,0.28,0.86,89.69,60.59,3,Q1,261.37,Medium,3.0751624869734644,Sprinkler,4.5877906980984235
ENT0138,North,Large,417.85,335.64,285.08,1.65,30.1,158.6,0.5,0.94,85.38,56.86,2,Q1,82.21000000000004,High,20.884938006316148,Drip,2.557824371241181
ENT0139,East,Small,532.95,173.9,210.92,1.0,28.3,132.6,0.21,0.78,79.25,44.59,3,Q3,359.05000000000007,Medium,2.454518409517176,Borewell,3.0218683955048977
ENT0140,North,Small,278.21,232.78,284.73,1.5,27.1,38.9,0.88,0.72,106.27,60.96,3,Q1,45.42999999999998,High,4.887128330883843,Borewell,6.420868064228814
ENT0141,West,Medium,203.44,377.03,98.73,0.14,24.7,124.4,0.79,0.94,139.2,44.4,3,Q1,-173.58999999999995,Medium,14.246417911286366,Sprinkler,7.7174961485196345
ENT0142,North,Large,662.62,359.82,208.18,1.86,26.8,245.5,0.31,0.22,115.71,39.16,1,Q1,302.8,High,26.821459549628017,Canal,4.558844661501357
ENT0143,West,Small,534.43,497.4,257.98,1.57,13.4,174.4,0.05,0.23,108.25,49.82,2,Q2,37.02999999999997,High,2.988994023569542,Sprinkler,6.823666425558996
ENT0144,West,Large,492.84,336.82,114.14,0.85,20.0,27.3,0.05,0.48,75.36,48.82,1,Q4,156.01999999999998,Medium,22.79112727894332,Borewell,6.368271653911217
ENT0145,West,Large,534.9,347.3,289.46,0.83,25.4,99.7,0.3,0.01,76.38,58.73,2,Q3,187.6,Medium,24.142005994586953,Borewell,3.3442876880377077
ENT0146,East,Medium,947.451649258012,351.98,79.5,0.3,15.4,293.9,0.15,0.97,119.01,43.18,2,Q2,631.9399999999999,Medium,10.46407074212132,Canal,3.5885909954131368
ENT0147,East,Medium,630.36,380.3,94.68,1.65,25.3,163.4,0.87,0.03,109.22,51.36,1,Q3,250.06,High,7.497441792293552,Rainfed,6.765252397669409
ENT0148,East,Medium,343.18,409.15,276.1,1.56,25.9,85.9,0.42,0.6,87.29,38.53,1,Q4,-65.96999999999997,High,8.432754890644482,Canal,4.33730327561294
ENT0149,North,Medium,247.94,359.37,290.9,1.3,22.3,274.0,0.35,0.35,65.69,63.36,1,Q1,-111.43,High,13.52048415804693,Rainfed,5.98397656572445
ENT0150,West,Medium,658.18,457.12,85.56,0.29,22.6,100.8,0.22,0.1,96.03,55.87,1,Q3,201.06,Low,10.592181317684581,Borewell,7.4913482481692215
ENT0151,East,Medium,628.41,630.02,40.92,0.6,20.8,219.0,0.84,0.02,82.02,27.29,3,Q3,-1.6100000000000136,Medium,10.147421937567799,Drip,5.23971005641193
ENT0152,East,Medium,586.26,317.46,227.72,0.97,23.6,44.2,0.79,0.26,89.43,61.91,4,Q2,268.8,Medium,5.99579713540029,Drip,3.2426297578834653
ENT0153,North,Medium,378.07,439.18,278.9,0.61,27.8,46.9,0.38,0.11,74.32,51.63,1,Q2,-61.110000000000014,Medium,5.160281564551231,Sprinkler,3.94140174448661
ENT0154,East,Small,554.49,402.95,180.21,0.92,28.1,168.4,0.17,0.94,116.13,50.89,3,Q1,151.54000000000002,Medium,2.957811041110252,Canal,3.3328597365121757
